,Date,Tweet
0,2022-05-23 23:40:03+00:00,"As more than a dozen countries grapple with outbreaks of monkeypox, health officials worldwide are rushing to assess reserves of vaccines and treatments that may be needed to contain the spread. https://t.co/30Qj4uLGpE"
1,2022-05-23 23:20:03+00:00,"Major League Baseball suspended the Yankees third baseman Josh Donaldson, who is white, for one game after he called the White Sox shortstop Tim Anderson, who is Black, “Jackie.” Donaldson appealed the one-game suspension. https://t.co/ZVkbeTWGbF"
2,2022-05-23 23:00:09+00:00,"Former Senator David Perdue ended his campaign for governor of Georgia with a racist appeal to Republican primary voters on Monday, accusing Stacey Abrams, the presumptive Democratic nominee, of “demeaning her own race.” https://t.co/ssmUGezsq5"
3,2022-05-23 22:40:03+00:00,"Addressing the World Economic Forum, President Volodymyr Zelensky of Ukraine called on Monday for tougher sanctions against Russia and invited international companies shunning Russia to set up shop in Ukraine. https://t.co/3677KuNNKL https://t.co/5FTBx0Zim8"
4,2022-05-23 22:20:05+00:00,"The U.S. on Monday said it would supply Romania with a training simulator in preparation for building a new type of nuclear power generating plant in the country. It could be the first in Europe, and perhaps in the world, to have such a plant. https://t.co/kxLYU8sPkV"
5,2022-05-23 22:00:10+00:00,"Facing a possible federal court takeover of the troubled Rikers Island complex, the commissioner of New York City’s Department of Correction will appear before a Federal district judge on Tuesday for a hearing on the jail system’s fate. https://t.co/TaXgTOCwFh"
6,2022-05-23 21:50:09+00:00,"Twenty nations have agreed to provide Ukraine with new weapons to fight Russian troops on land and at sea, Defense Secretary Lloyd Austin III said Monday. https://t.co/lhu58DBEma"
7,2022-05-23 21:45:03+00:00,"Russian-speaking technologists moved from Russia, Ukraine, Belarus and other countries for tech industry jobs in the San Francisco Bay Area. Now, they are struggling to rebuild their personal and professional lives after the invasion of Ukraine. https://t.co/lURWIREuks"
8,2022-05-23 21:38:01+00:00,"The Cannes Film Festival is more than halfway over (it ends Saturday). 

Monday’s program included two long-awaited films: Park Chan-wook’s “Decision to Leave” and David Cronenberg’s “Crimes of the Future,” with Kristen Stewart and Viggo Mortensen. https://t.co/kZAaZdQjIn"
9,2022-05-23 21:30:07+00:00,"After preliminary results showed that a Pfizer coronavirus vaccine produced a strong immune response for children under 5, our reporters want to hear from you: How does this news affect your decision about vaccinating your young children? https://t.co/w1ja9Wf3kd https://t.co/i7ElGUmTFZ"
10,2022-05-23 21:15:07+00:00,"Some U.S. officials have grown frustrated that trade relations with China are still defined by policies set by former President Donald Trump, including tariffs imposed on more than $360 billion of products. https://t.co/5K9yzHlzps"
11,2022-05-23 21:05:07+00:00,"In Opinion

""In a post-Roe America, it is easy to see how the right to contraception could be gutted by recasting some forms of contraception as abortifacients,"" writes Melissa Murray in a guest essay. https://t.co/fZXQBOh71o"
12,2022-05-23 20:55:03+00:00,"A former city commissioner in Lakeland, Florida, was sentenced to three years in prison after he admitted to fatally shooting a man he suspected of stealing a hatchet from an Army-Navy surplus store he co-owned in 2018. https://t.co/h6jhbIqd7T"
13,2022-05-23 20:45:06+00:00,The era of open borders for data is ending. Governments are increasingly setting rules and standards about how data can and cannot move around the globe. The goal is to gain “digital sovereignty.” https://t.co/GAUnuiRtSA
14,2022-05-23 20:44:07+00:00,"People typically catch monkeypox by coming into close contact with infected animals, and human-to-human transmission of the virus is pretty rare, experts say. 

According to the CDC, it is a more benign version of smallpox. Here’s what to know. https://t.co/HpQ7NcSxey"
15,2022-05-23 20:30:11+00:00,"In Opinion

""A Kemp win would be a blow not only to Trump but also to the election denialism with which he has infected the GOP,"" writes @mcottle. https://t.co/2J4QQrbpoJ"
16,2022-05-23 20:20:04+00:00,"A group of workers at a video game studio that is part of Activision Blizzard has voted to unionize, a first for a major North American gaming company. https://t.co/k0jz0usmpd"
17,2022-05-23 20:16:37+00:00,"They rose up in the first successful slave rebellion in the modern world. Then the former slaveholders returned with an ultimatum: face another war or pay cash for your freedom. How much was a mystery, until now.

This is the true cost of Haiti's freedom. https://t.co/sBAZHvRaWJ https://t.co/QCKxmiiny3"
18,2022-05-23 20:05:07+00:00,"Russian forces killed 87 people last week in the Chernihiv region of Ukraine, President Volodymyr Zelensky said on Monday, in what appears to be one of the deadliest single incidents for the country since Russia invaded. https://t.co/vhVqak122c"
19,2022-05-23 20:00:13+00:00,Former Vice President Mike Pence is seeking to reintroduce himself to Republican voters ahead of a potential presidential bid by setting himself apart from what many in the GOP see as the worst impulses of Donald Trump. https://t.co/h5pbJimMC4
20,2022-05-23 19:55:02+00:00,The former British lawmaker Imran Ahmad Khan was sentenced on Monday to 18 months in prison for sexually assaulting a teenager in 2008. His is one of several recent cases of sexual misconduct involving members of Parliament. https://t.co/H3tAcYSBte
21,2022-05-23 19:46:04+00:00,"Meta, which owns Facebook and Instagram, will give researchers more information on how political ads are targeted across its platform, providing insight into the ways that politicians and campaigners buy and use ads ahead of the midterm elections.
https://t.co/sRlpiu74QE"
22,2022-05-23 19:30:09+00:00,"Many Black families in Buffalo remain fearful after ten people were killed in a racist mass shooting on May 14. Simier Sweet, 13, said he was nervous about walking to the bus stop alone. “It could happen on the bus, anywhere, me walking to my school.” https://t.co/7NKlaeutRz"
23,2022-05-23 19:00:06+00:00,"TikTok, an official partner of the Cannes Film Festival, was accused of attempting to influence a jury’s decisions in a short film competition. https://t.co/5Cr4Zw0QIu"
24,2022-05-23 18:50:06+00:00,"“They basically got everything wrong,” said a Russian diplomat who resigned over the Ukraine invasion. He said his colleagues were focused more on pleasing their superiors than on delivering accurate information to Moscow. https://t.co/mR7dpRREkM https://t.co/3xo6fFWwWa"
25,2022-05-23 18:45:04+00:00,"President Biden said the U.S. would use military force to defend Taiwan if China attacked, appearing to step away from a policy of “strategic ambiguity” and suggesting that he would be willing to do more for Taiwan than America has in helping Ukraine. https://t.co/qSIa7H4vgD https://t.co/SJL2aAw7b8"
26,2022-05-23 18:15:06+00:00,A bank that helped finance the Eiffel Tower drained millions of dollars from Haiti. That history has been all but erased — but The New York Times tracked the money. https://t.co/ENGhtyXTLZ https://t.co/2RMVTahs34
27,2022-05-23 17:50:01+00:00,"“I’ve been through so much and am not embarrassed to say I’ve been cheated on, I’ve been screwed over. I want people to feel more empowered to be like, OK, so you got cheated on.” Read the @NYTMag interview with Alex Cooper, the host of “Call Her Daddy.” https://t.co/gCRu3g3kzx"
28,2022-05-23 17:40:08+00:00,"HSBC is in damage control mode after one of the bank's senior executives, Stuart Kirk, said the risks of climate change had been overblown. “Who cares if Miami is six meters underwater in 100 years?” he said at a conference last week.
https://t.co/1HDlp00Hkp"
29,2022-05-23 17:30:06+00:00,"Early voting turnout in Georgia’s primary elections surged past previous milestones, signaling an energized electorate in a newly minted political battleground and setting off a fresh debate over the state’s recently passed voting law. https://t.co/kT7UxAyxlb"
30,2022-05-23 17:20:06+00:00,"Guy Fieri, TV’s spike-haired rhapsodist of roadside eats, is still playing it for laughs. But he’s also winning food-world respect as a sort of graying eminence. https://t.co/6Zthw0GBfc https://t.co/kYxd0Ez466"
31,2022-05-23 17:16:05+00:00,"The Spice Girls first topped the charts 25 years ago, but their legacy is still being written. Join Spice Girl
@MelanieCmusic and the reporters @jen_harlan and @Alisha__g as they discuss the group’s impact. DM questions to @nytimesevents. Join us live now. https://t.co/8HiYKzZvbf"
32,2022-05-23 16:45:07+00:00,"Russians invited guests to the Russia House at Switzerland's World Economic Forum for years. A Ukrainian has now changed it to the ""Russian War Crimes House"" to rally people at the annual event to commit to the business of arming and rebuilding Ukraine. https://t.co/1R6Xq1a56X"
33,2022-05-23 16:17:19+00:00,"The NYPD released photos of the suspect in a fatal shooting of a rider on a subway train in Lower Manhattan on Sunday and asked New Yorkers to help locate him. “We need all eyes on this,” Police Commissioner Keechant Sewell said on Monday. https://t.co/arpoop0wvl"
34,2022-05-23 16:15:03+00:00,"The New York Times’s publication of “The Ransom” is a groundbreaking report laying out history’s role in Haiti’s poverty.

Here are some of the latest reactions and updates from the project. https://t.co/5DZzOSNAJr"
35,2022-05-23 15:45:07+00:00,"Meta, which owns Facebook and Instagram, will give researchers more information on how political ads are targeted across its platform, providing insight into the ways that politicians and campaigners buy and use ads ahead of the midterm elections.
https://t.co/I33r86da0i"
