"YearMonth","label","cnt","freq"
"2021-12","Negative",2334,0.586
"2021-12","Neutral",1549,0.389
"2021-12","Positive",101,0.025
"2022-01","Negative",9413,0.611
"2022-01","Neutral",5677,0.368
"2022-01","Positive",327,0.021
"2022-02","Negative",9135,0.655
"2022-02","Neutral",4494,0.322
"2022-02","Positive",311,0.022
"2022-03","Negative",11070,0.716
"2022-03","Neutral",4039,0.261
"2022-03","Positive",349,0.023
"2022-04","Negative",10707,0.716
"2022-04","Neutral",3882,0.26
"2022-04","Positive",364,0.024
"2022-05","Negative",8266,0.721
"2022-05","Neutral",2892,0.252
"2022-05","Positive",299,0.026
