"","X","Date","text"
"1",0,"2022-04-29 23:50:08+00:00","OPINION: @VirginiaFoxx, @SenatorBurr: Biden thinks student loan borrowers deserve a blank check from taxpayers
https://t.co/umRJoGqtQu"
"2",1,"2022-04-29 23:40:07+00:00","Clinton campaign seeks to block Durham access to Perkins Coie documents
https://t.co/M49XhNiSdY"
"3",2,"2022-04-29 23:30:00+00:00","NYC bystander stabbed by group outside club in Queens

https://t.co/QPN8KbEvSM"
"4",3,"2022-04-29 23:20:00+00:00","Met Gala 2022 'Gilded Glamour' theme gets mixed reactions: 'Impeccable timing'

https://t.co/xSv65ciiVI"
"5",4,"2022-04-29 23:10:00+00:00","Elon Musk and Amber Heard: What we learned this week

https://t.co/ph3nvFlfcJ"
"6",5,"2022-04-29 23:00:01+00:00","VACATION NIGHTMARE: Panic erupts at airport after family shows up with souvenir found hiking

https://t.co/vrrkLqZRvq"
"7",6,"2022-04-29 22:50:00+00:00","Los Angeles Dodgers pitcher Trevor Bauer suspended for two seasons after alleged sexual assault

https://t.co/b4DkzhGWou"
"8",7,"2022-04-29 22:40:00+00:00","Rove: White House put a 'political hack' in charge of disinformation board

https://t.co/a4htIrXu9z"
"9",8,"2022-04-29 22:30:00+00:00","HER OWN DISINFORMATION: Biden's pick to lead crackdown on freedom of speech has history of making false or misleading claims

https://t.co/To8rFKZFFz"
"10",9,"2022-04-29 22:20:00+00:00","AOC botches facts in viral tweet attacking Texas abortion law

https://t.co/7nQD4657ai"
"11",10,"2022-04-29 22:10:00+00:00","Charlie Crist says he's 'open' to mask mandate, setting up COVID as key issue in race against DeSantis

https://t.co/wkzJ9lIw76"
"12",11,"2022-04-29 22:00:01+00:00","'KEPT FROM US': Parents fight back after they say school hid what led their teen son to suicide

https://t.co/BEQwdmuUt9"
"13",12,"2022-04-29 21:50:00+00:00","OPINION: Biden thinks student loan borrowers deserve a blank check from taxpayers

https://t.co/gtW9WfeSXA"
"14",13,"2022-04-29 21:40:00+00:00","Dolly Parton backtracks, will ‘gratefully accept’ Rock Hall nomination

https://t.co/kfVBBBVap4"
"15",14,"2022-04-29 21:30:00+00:00","‘Disinformation czar’ tweets reveal history of dubious claims on COVID, Hunter Biden and Russia

https://t.co/To8rFLhgx7"
"16",15,"2022-04-29 21:21:15+00:00","‘RECKLESS’: Liberal anchor Joy Reid had claimed in a tweet that @JackBrewerBSI bringing black children to an anti-CRT event was ‘tantamount to child abuse.’ https://t.co/cqbtbDUb3Y https://t.co/5S1tGp5OKf"
"17",16,"2022-04-29 21:20:00+00:00","Florida AG Moody releases internal DHS document she says contradicts Mayorkas testimony on border crisis

https://t.co/iMyuMsfsR5"
"18",17,"2022-04-29 21:10:00+00:00","Psaki defends Nina Jankowicz, claims DHS 'disinformation' board continuation of work under Trump

https://t.co/2uGdlwwO5M"
"19",18,"2022-04-29 21:00:00+00:00","Tomi Lahren: Mainstream media doesn’t want to know the truth about Hunter Biden

https://t.co/zGgZXRqZwc"
"20",19,"2022-04-29 20:50:00+00:00","Rep. McCaul torches Biden admin after Mayorkas hearings: 'This is just insanity'

https://t.co/9fJbAOvzd4"
"21",20,"2022-04-29 20:40:00+00:00","Congress revives WWII-era program used to defeat Hitler to deploy aid to Ukraine

https://t.co/Kh0JrgPWmG"
"22",21,"2022-04-29 20:30:00+00:00","Left-wing writer frets Trump Twitter return ‘might just be his path to victory’ in 2024

https://t.co/RTcL5jtx8n"
"23",22,"2022-04-29 20:20:00+00:00","Forbes on student debt forgiveness: 'Where does the president get the authority?'

https://t.co/flQBNLVoIx"
"24",23,"2022-04-29 20:10:00+00:00","OPINION: Black success demolishes the left's '2+2 = racism' lie  

https://t.co/e8hcdZ06J8"
