,Date,text
0,2022-04-29 23:50:08+00:00,"OPINION: @user @user Biden thinks student loan borrowers deserve a blank check from taxpayers
http"
1,2022-04-29 23:40:07+00:00,"Clinton campaign seeks to block Durham access to Perkins Coie documents
http"
2,2022-04-29 23:30:00+00:00,"NYC bystander stabbed by group outside club in Queens

http"
3,2022-04-29 23:20:00+00:00,"Met Gala 2022 'Gilded Glamour' theme gets mixed reactions: 'Impeccable timing'

http"
4,2022-04-29 23:10:00+00:00,"Elon Musk and Amber Heard: What we learned this week

http"
5,2022-04-29 23:00:01+00:00,"VACATION NIGHTMARE: Panic erupts at airport after family shows up with souvenir found hiking

http"
6,2022-04-29 22:50:00+00:00,"Los Angeles Dodgers pitcher Trevor Bauer suspended for two seasons after alleged sexual assault

http"
7,2022-04-29 22:40:00+00:00,"Rove: White House put a 'political hack' in charge of disinformation board

http"
8,2022-04-29 22:30:00+00:00,"HER OWN DISINFORMATION: Biden's pick to lead crackdown on freedom of speech has history of making false or misleading claims

http"
9,2022-04-29 22:20:00+00:00,"AOC botches facts in viral tweet attacking Texas abortion law

http"
10,2022-04-29 22:10:00+00:00,"Charlie Crist says he's 'open' to mask mandate, setting up COVID as key issue in race against DeSantis

http"
11,2022-04-29 22:00:01+00:00,"'KEPT FROM US': Parents fight back after they say school hid what led their teen son to suicide

http"
12,2022-04-29 21:50:00+00:00,"OPINION: Biden thinks student loan borrowers deserve a blank check from taxpayers

http"
13,2022-04-29 21:40:00+00:00,"Dolly Parton backtracks, will ‘gratefully accept’ Rock Hall nomination

http"
14,2022-04-29 21:30:00+00:00,"‘Disinformation czar’ tweets reveal history of dubious claims on COVID, Hunter Biden and Russia

http"
15,2022-04-29 21:21:15+00:00,‘RECKLESS’: Liberal anchor Joy Reid had claimed in a tweet that @user bringing black children to an anti-CRT event was ‘tantamount to child abuse.’ http http
16,2022-04-29 21:20:00+00:00,"Florida AG Moody releases internal DHS document she says contradicts Mayorkas testimony on border crisis

http"
17,2022-04-29 21:10:00+00:00,"Psaki defends Nina Jankowicz, claims DHS 'disinformation' board continuation of work under Trump

http"
18,2022-04-29 21:00:00+00:00,"Tomi Lahren: Mainstream media doesn’t want to know the truth about Hunter Biden

http"
19,2022-04-29 20:50:00+00:00,"Rep. McCaul torches Biden admin after Mayorkas hearings: 'This is just insanity'

http"
20,2022-04-29 20:40:00+00:00,"Congress revives WWII-era program used to defeat Hitler to deploy aid to Ukraine

http"
21,2022-04-29 20:30:00+00:00,"Left-wing writer frets Trump Twitter return ‘might just be his path to victory’ in 2024

http"
22,2022-04-29 20:20:00+00:00,"Forbes on student debt forgiveness: 'Where does the president get the authority?'

http"
23,2022-04-29 20:10:00+00:00,"OPINION: Black success demolishes the left's '2+2 = racism' lie  

http"
24,2022-04-29 20:00:01+00:00,"Nina Jankowicz touted her own House testimony suggesting Hunter Biden laptop had 'illicit provenance'

http"
25,2022-04-29 19:50:00+00:00,"ICE struggles with growing crowds outside Florida facility amid migrant surge

http"
26,2022-04-29 19:40:00+00:00,"Biden admin authorizes E15 gasoline in an effort to increase US fuel supply, reduce gas prices

http"
27,2022-04-29 19:30:00+00:00,"MSNBC column sounds red alert over DeSantis: 'Most dangerous figure in American politics'

http"
28,2022-04-29 19:29:27+00:00,‘GOD’S REALLY BLESSED ME’: High school senior Noble Rasmussen told ‘Fox &amp; Friends’ he feels like it’s his ‘duty’ to help his country. http http
29,2022-04-29 19:20:00+00:00,"Chicago parents demand accountability from school after son's suicide: Bullying 'was kept from us'

http"
30,2022-04-29 19:10:00+00:00,"Nebraska teen accepted into all 5 military academies sets out to serve his country

http"
31,2022-04-29 19:00:00+00:00,"SECRETARY STUMPED: Biden's DHS chief fails to name single domestic terror, White supremacy case referred to DOJ

http"
32,2022-04-29 18:50:00+00:00,"'The View' host: Republican Party isn't 'in line with American values'

http"
33,2022-04-29 18:40:00+00:00,"Travon Walker's message to Jaguars front office after picking him No. 1: 'You won't regret it'

http"
34,2022-04-29 18:30:00+00:00,"ISIS 'Beatle' member sentenced to life in prison for terror beheadings

http"
35,2022-04-29 18:20:00+00:00,"Republicans accuse Mayorkas of discrediting 'legitimate criticism' with 'disinformation' board, demand info

http"
36,2022-04-29 18:10:00+00:00,"‘Racial equity’ a ‘central tenet’ in dispersing American Rescue Plan funds at state, local level: U.S. Treasury

http"
37,2022-04-29 18:00:01+00:00,"SCARED OF PSAKI: Reporter reveals why they're afraid to go after Biden's press secretary

http"
38,2022-04-29 17:50:00+00:00,"Rep. McClintock rips Biden admin for 'flooding' US with migrants

http"
39,2022-04-29 17:40:00+00:00,"Gingrich: Border crisis ‘profoundly’ changing US politics as Hispanic voters abandon Democrats

http"
40,2022-04-29 17:30:01+00:00,"Mayorkas won't name 1 domestic terror, White supremacy case referred to DOJ

http"
41,2022-04-29 17:20:00+00:00,"Reporter reveals why they're afraid to go after Psaki: 'Makes you look like an a--hole'

http"
42,2022-04-29 17:10:00+00:00,"DeSantis hits back at Biden's ‘book burning’ comment: ‘We want education, not indoctrination’

http"
43,2022-04-29 17:00:01+00:00,"McCarthy calls on Biden to disband disinformation board

http"
44,2022-04-29 16:50:00+00:00,"DeSantis pledges to fight back against Biden disinfo board

http"
45,2022-04-29 16:40:00+00:00,"Liberal media, watchdogs 'utterly asleep at their keyboards' on Biden’s Disinformation Governance Board

http"
46,2022-04-29 16:30:00+00:00,"OPINION: Elon Musk is threat to our democracy cries Elizabeth Warren as she works to undermine it

http"
47,2022-04-29 16:20:00+00:00,"DeSantis blasts Disney execs’ attack on parents: 'Walt Disney would not want that'

http"
48,2022-04-29 16:10:00+00:00,"DOUBLE FAULT: Tennis legend sentenced to prison over bankruptcy ordeal

http"
49,2022-04-29 16:00:00+00:00,"'GOD HELP US': Twitter users shocked by ‘ridiculous’ TikTok of new ‘disinformation czar’ singing

http"
50,2022-04-29 15:50:00+00:00,"Dog jumps from window to escape Pennsylvania house fire

http"
51,2022-04-29 15:40:00+00:00,"Jack Brewer files police report on Joy Reid for putting kids in ‘danger,’ demands apology 

http"
52,2022-04-29 15:30:00+00:00,"'NO ANSWERS': GOP rep grills Biden's secretary of state over Ukraine 'lies'

http"
53,2022-04-29 15:20:00+00:00,"NBC op-ed blasts efforts to curb youth 'gender-affirming' surgeries, blames GOP 'cultural authoritarianism'

http"
54,2022-04-29 15:10:00+00:00,"Ukraine war: International Planned Parenthood Fed. provides abortion pills, rape kits to victims of invasion

http"
55,2022-04-29 15:00:01+00:00,"'HIJACKED BY EXTREMISTS': Liberals lose it after Elon Musk's tweets about the Democratic Party

http"
56,2022-04-29 14:50:00+00:00,"Oregon sheriff 'absolutely disgusted' over progressive governor granting clemency to 'cold-blooded killer'

http"
57,2022-04-29 14:40:00+00:00,"Biden admin was 'actively encouraging' states to use COVID money to push CRT, says One Nation president

http"
58,2022-04-29 14:30:00+00:00,"Indiana's attorney general sues Black Lives Matter over its use of donations

http"
59,2022-04-29 14:20:00+00:00,"White House communications director tests positive for COVID

http"
60,2022-04-29 14:00:01+00:00,"WHO'S NEXT?: A look at the celebs yet to testify in the Johnny Depp trial

http"
61,2022-04-29 13:50:00+00:00,"West Memphis police slam 'heinous' murder accusation after man jumps from bridge

http"
62,2022-04-29 13:40:00+00:00,"Putin's war claims U.S. embassy security guard in Kyiv

http"
63,2022-04-29 13:30:00+00:00,"'LIKE A SON TO JOE': President Biden's close relationship with Hunter associate who led company with China ties exposed

http"
64,2022-04-29 13:20:00+00:00,"OPINION: I'm a dad who wants schools to teach kids how to read—not how to be gender fluid

http"
65,2022-04-29 13:10:00+00:00,"Rep. Mast grills Blinken over 'lies' on Ukraine: 'He gave no answers'
http"
66,2022-04-29 13:00:02+00:00,"Lara Trump on 'Fox &amp; Friends First': Biden's 'Ministry of Truth' is very concerning
http"
67,2022-04-29 12:50:00+00:00,"Storm forecast to threaten Plains as Northeast experiences below-average temperatures
http"
68,2022-04-29 12:40:00+00:00,"Buzzkill: Ford might put screen doors on the Bronco
http"
69,2022-04-29 12:30:01+00:00,"Putin to attend G20 summit, Indonesia says; Zelenskyy also invited
http"
70,2022-04-29 12:10:00+00:00,"FedEx employee charged after allegedly stealing package with iPads, police say
http"
71,2022-04-29 12:00:02+00:00,"MSNBC, other liberal outlets repeatedly paint opponents, conservatives as 'fascists' to viewers
http"
72,2022-04-29 11:50:00+00:00,"Immigration nears top of list of urgent issues for Americans, overtaking Ukraine: poll
http"
73,2022-04-29 11:40:00+00:00,"Garland, Rep. Garcia spar over 'enormously concerning' crime spike
http"
74,2022-04-29 11:30:00+00:00,"Mayorkas testifies more than 389,000 migrant ‘gotaways’ at border
http"
75,2022-04-29 11:20:00+00:00,"NFL Draft: Giants' Adoree' Jackson reveals how rookies can earn respect in locker room, talks own experience
http"
76,2022-04-29 11:10:00+00:00,"Dem Title 42 compromise being 'worked on,' Hoyer and Schumer say, as moderates seek distance from White House
http"
77,2022-04-29 11:00:02+00:00,"4-year-old gets a new heart for his birthday: 'Eternally grateful'
http"
78,2022-04-29 10:50:00+00:00,"Hunter Biden associate visited Obama-Biden White House 7 times after becoming head of company with CCP ties
http"
79,2022-04-29 10:40:00+00:00,"Zelenskyy to launch operation to evacuate civilians in Mariupol steel plant Friday
http"
80,2022-04-29 10:30:08+00:00,"DOJ sues former Trump campaign chair Paul Manafort for $3M on tax evasion, bank fraud http"
81,2022-04-29 10:30:00+00:00,"Biden student debt cancellation may worsen inflation; US Marine vet dies fighting alongside Ukrainians
http"
82,2022-04-29 10:20:00+00:00,"DOJ sues former Trump campaign chair Paul Manafort for $3M on tax evasion, bank fraud
http"
83,2022-04-29 10:15:06+00:00,British Virgin Islands premier arrested by DEA in Miami on drug smuggling charges http
84,2022-04-29 10:10:00+00:00,"British Virgin Islands premier arrested by DEA in Miami on drug smuggling charges
http"
85,2022-04-29 10:00:17+00:00,3 California Highway Patrol officers injured in fiery freeway crash http
86,2022-04-29 10:00:03+00:00,"3 California Highway Patrol officers injured in fiery freeway crash
http"
87,2022-04-29 09:45:06+00:00,OPINION: I'm a dad who wants schools to teach kids how to read—not how to be gender fluid http
88,2022-04-29 09:30:16+00:00,Children’s book about Rush Limbaugh aims to teach kids importance of First Amendment http
89,2022-04-29 09:15:02+00:00,GROWING WINGS: Billionaire @user appears ready to fly far away from the Democratic Party as he faces barrage of criticism from the Left over Twitter acquisition. http
90,2022-04-29 09:00:16+00:00,".@GovRonDeSantis on Florida's surgeon general: If you're being attacked by media, I know you're doing a hell of a job http"
91,2022-04-29 08:45:02+00:00,Depp-Heard defamation trial: A look at the celeb witnesses still set to testify http
92,2022-04-29 08:30:09+00:00,Saudis would develop bomb 'the next day' if Iran nuclear deal led to weapons capability: experts http
93,2022-04-29 08:15:06+00:00,"Rush Limbaugh, Tiger Woods among the most successful college dropouts of our time http"
94,2022-04-29 08:00:10+00:00,".@GovRonDeSantis warns Biden: If you caravan illegal migrants to Florida, we'll reroute them to Delaware http"
95,2022-04-29 07:45:03+00:00,Experts slam NYT's claim legal gun sales partly to blame for rapid increase in violent crime http
96,2022-04-29 07:30:14+00:00,Jaguars select Travon Walker: What to know about the 2022 NFL Draft's No. 1 pick http
97,2022-04-29 07:15:11+00:00,"LA DA George Gascon causing ‘havoc and mayhem,’ recall effort will be a 'photo finish,' deputy DA says http"
98,2022-04-29 07:00:05+00:00,.@GovRonDeSantis blasts Disney execs’ attack on parents: 'Walt Disney would not want that' http
99,2022-04-29 06:50:07+00:00,"Chipotle CFO weighs in on inflation, calls it 'one of the most challenging environments to predict' http http"
100,2022-04-29 06:45:05+00:00,Colorado reports first human case of H5 bird flu in US in poultry worker http
101,2022-04-29 06:30:06+00:00,Large fire burning near homeless encampment in Oakland: reports http
102,2022-04-29 06:15:05+00:00,Former Marine dies fighting alongside Ukrainians; Widow calls him a 'hero' http
103,2022-04-29 06:00:05+00:00,.@IngrahamAngle: DeSantis has embraced policies that once seemed unthinkable http
104,2022-04-29 05:45:06+00:00,OPINION: @user The White House wants to police people's opinions http
105,2022-04-29 05:30:06+00:00,OPINION: Parents are chanting: 'Whose kids? Our kids.' And they're winning  http
106,2022-04-29 05:15:05+00:00,Elizabeth Warren calls for new 'rules' to govern 'unregulated' social media amid Musk's Twitter takeover  http
107,2022-04-29 05:00:12+00:00,"'EDUCATION' NOT 'INDOCTRINATION': @user responds to critics of Florida's parental rights law, says they don't want parents involved in education because they know that they would be an 'obstacle to them indoctrinating.' http"
108,2022-04-29 04:45:09+00:00,‘I’M BACK!’: Trump officially joins TRUTH social. http http
109,2022-04-29 04:30:05+00:00,POLICING SPEECH: @user accuses Biden admin of creating 'ministry of truth' to violate First Amendment. http
110,2022-04-29 04:15:04+00:00,Sarah Huckabee Sanders: Everything Biden and Harris touch is ruined http
111,2022-04-29 04:05:05+00:00,California Democrat says parents at school board meetings need 'a lesson' http
112,2022-04-29 04:01:03+00:00,"'DISNEY WILL PAY ITS DEBTS': Florida @user fires back at Disney's response to their special exemption's removal, says 'it's wrong' for any company to 'attack parents': 'Walt Disney would not want that.' @user http"
113,2022-04-29 03:56:04+00:00,WATCH: Why expert predicts stock market 'bottom' is getting close http http
114,2022-04-29 03:43:46+00:00,Kilmeade: George Orwell's dystopian society becoming a reality with Biden's latest action http
115,2022-04-29 03:38:00+00:00,Jordan: What they are doing to our country is intentional http
116,2022-04-29 03:22:53+00:00,OPINION: Tucker: Nina Jankowicz is the most ridiculous of all in Biden's Ministry of Truth http
117,2022-04-29 03:20:44+00:00,"'FALLING APART': @user blasts the Biden administration for inflation, crime and the spiraling border crisis. http"
118,2022-04-29 03:00:40+00:00,‘NOT RELEVANT’: Senate hopeful @user responds to critics who have questioned his allegiance to the U.S. because he holds dual citizenship with Turkey. http
119,2022-04-29 02:56:20+00:00,Titans send AJ Brown to Eagles in blockbuster trade http
120,2022-04-29 02:52:15+00:00,GROWING WINGS: Billionaire @user appears ready to fly far away from the Democratic Party as he faces barrage of criticism from the Left over Twitter acquisition. http
121,2022-04-29 02:47:26+00:00,.@cvpayne: You must always be engaged in the market http http
122,2022-04-29 02:45:41+00:00,New Disinformation Governance Board better suited for dictatorships: Gabbard http
123,2022-04-29 02:41:29+00:00,"‘DEPARTMENT OF PROPAGANDA’: @user says ‘ministry of truth’ creation is just another example of DC elites running the show, not the president. http"
124,2022-04-29 02:33:42+00:00,"Elon Musk sells $4B in Tesla stock, announces no further sales planned http"
125,2022-04-29 02:25:40+00:00,"Assaults, fires, roach infestations in San Francisco's hotels for homeless program revealed http"
126,2022-04-29 02:12:41+00:00,Sarah Huckabee Sanders: Everything Biden and Harris touch is ruined http
127,2022-04-29 01:58:09+00:00,Putin looking at US because of its past actions that 'led to' Ukraine invasion: Rove http
128,2022-04-29 01:53:26+00:00,POLICING SPEECH: @user accuses Biden admin of creating 'ministry of truth' to violate First Amendment. http
129,2022-04-29 01:49:01+00:00,Maryland state troopers hospitalized after suspected impaired driver strikes police vehicle http
130,2022-04-29 01:42:10+00:00,‘Schitt’s Creek’ to move from Netflix to Hulu after Disney streamer takes over rights http
131,2022-04-29 01:33:30+00:00,MSNBC's Lawrence O'Donnell condemns the Senate as a 'permanently anti-democratic institution' http
132,2022-04-29 01:29:07+00:00,NPR argues economy is 'sturdier than it looks' amid shrinking report http
133,2022-04-29 01:17:03+00:00,California socialite accused of running over and killing two children appears in court http
134,2022-04-29 01:16:11+00:00,GAFFER-IN-CHIEF: The president's comments about Russia left many scratching their heads. http http
135,2022-04-29 01:01:11+00:00,LIVE UPDATES: Walker goes No. 1 and Hutchinson follows as No. 2 at NFL Draft http http
136,2022-04-29 00:56:48+00:00,Dwayne Haskins honored at NFL Draft with moment of silence http
137,2022-04-29 00:43:22+00:00,Family of Los Angeles woman killed by teen speeding in Lamborghini wins $18.85 million lawsuit http
138,2022-04-29 00:34:24+00:00,"Christina Haack’s ex Ant Anstead files for full custody of their 2-year-old son, criticizes her parenting http"
139,2022-04-29 00:29:03+00:00,"Jeanine Pirro rips new DHS 'disinfo board': Quicker than Ukraine got weapons, more organized than Afghan exit http"
140,2022-04-29 00:22:44+00:00,NFL Draft 2022: Jaguars select defensive lineman Travon Walker http
141,2022-04-29 00:16:48+00:00,Arkansas attorney general files lawsuit against Family Dollar after rodent infestation detected at facility http
142,2022-04-29 00:13:21+00:00,‘SHADOW ON EARTH’: The first solar eclipse of the year is just days away – here’s where to watch it. http http
143,2022-04-29 00:10:25+00:00,LIVE UPDATES: NFL Draft 2022 opens with Jaguars’ selection http http
144,2022-04-29 00:00:43+00:00,California woman charged in baby abduction was 'obsessed' with child after meeting grandma at church: report http
145,2022-04-28 23:53:34+00:00,Phoenix PD release body cam footage showing female officer shot during ambush http
146,2022-04-28 23:47:33+00:00,Washington Post columnist: Would the Left be ‘freaking out’ over Musk if Twitter was ‘really so evenhanded'? http
147,2022-04-28 23:34:46+00:00,‘I’M BACK!’: Trump officially joins TRUTH social. http http
148,2022-04-28 23:30:03+00:00,Los Angeles police respond to armed robbery near high-end Beverly Center mall http
149,2022-04-28 23:22:10+00:00,Who is Elon Musk? Fox Nation reveals his key to success http
150,2022-04-28 23:04:23+00:00,Blac Chyna-Kardashians trial to begin closing arguments http
151,2022-04-28 22:57:01+00:00,"LIVE UPDATES: Football stars, celebrates descend on red carpet ahead of NFL Draft http http"
152,2022-04-28 22:50:51+00:00,Grim GDP report undercuts Democrats' midterm messaging http
153,2022-04-28 22:45:14+00:00,National security expert: Biden must revive Trump’s 'energy dominance' to put Putin in his place http
154,2022-04-28 22:40:50+00:00,NYPD searching for suspects who stole from Brooklyn vape shop in grab-and-go scheme http
155,2022-04-28 22:35:16+00:00,"Chipotle CFO weighs in on inflation, calls it 'one of the most challenging environments to predict' http http"
156,2022-04-28 22:33:56+00:00,"FedEx employee charged after allegedly stealing package with iPads, police say http"
157,2022-04-28 22:25:11+00:00,White House defends DHS 'disinformation' board: 'Not sure who opposes that effort' http
158,2022-04-28 22:18:50+00:00,"Travis Barker brings Kris Jenner to tears, visits Robert Kardashian Sr.’s grave for blessing to marry Kourtney http"
159,2022-04-28 22:12:46+00:00,BREAKING: James Corden exiting ‘The Late Late Show' in 2023 http
160,2022-04-28 22:10:12+00:00,How to watch the April 2022 solar eclipse online http
161,2022-04-28 22:00:30+00:00,Trump joins TRUTH Social: 'I'M BACK! #COVFEFE' http
162,2022-04-28 21:46:25+00:00,WATCH: Why expert predicts stock market 'bottom' is getting close http http
163,2022-04-28 21:45:04+00:00,HONORING OLD GLORY: Sanitation worker Don Gardner explains why he saved discarded American flag.  http http
164,2022-04-28 21:44:58+00:00,MSNBC analyst claims he was confronted by a 'Musk bro' at an airport http
165,2022-04-28 21:38:28+00:00,‘NEW FRONTIER’:  Businessman explains why Texas is the perfect place for the social media giant.   http http
166,2022-04-28 21:33:49+00:00,Russian sanctions: German energy company agrees to Russia's ruble conversion plan http
167,2022-04-28 21:26:11+00:00,Oklahoma lawmakers send 6-week abortion ban to governor's desk http
168,2022-04-28 21:17:18+00:00,Florida man arrested for allegedly burning Dallas lawyer Ira Tobolowsky to death in 2016 http
169,2022-04-28 21:11:46+00:00,"MSNBC, other liberal outlets repeatedly paint opponents, conservatives as 'fascists' to viewers http"
170,2022-04-28 21:02:40+00:00,"Immigration nears top of list of urgent issues for Americans, overtaking Ukraine: poll http"
171,2022-04-28 20:54:30+00:00,Elizabeth Warren calls for new 'rules' to govern 'unregulated' social media amid Musk's Twitter takeover http
172,2022-04-28 20:35:50+00:00,.@cvpayne: You must always be engaged in the market http http
173,2022-04-28 20:31:04+00:00,"FDA releases plan to ban menthol in cigarettes, cigars http"
174,2022-04-28 20:28:45+00:00,"Jorge Masvidal accused of giving Covington a 'brain injury' in Miami attack, ordered to stay away: report http"
175,2022-04-28 20:22:48+00:00,"Tom Cruise reveals ‘Mission: Impossible 7’ title, trailer at CinemaCon 2022 http"
176,2022-04-28 20:13:42+00:00,'Outnumbered' torches Biden disinformation exec who dismissed Hunter's laptop: 'Can't make this up' http
177,2022-04-28 20:09:17+00:00,Texas bus carrying baseball team rolls over on highway http
