,Date,Tweet
0,2022-05-23 23:50:02+00:00,The Big Apple became a big headache for NY Dems https://t.co/8tb0HybHnh
1,2022-05-23 23:41:05+00:00,ENEMIES ARE WATCHING: @kayleighmcenany explains why Biden’s latest foreign policy blunter can be particularly dangerous on @OutnumberedFNC. https://t.co/6LXeZX3qfo https://t.co/Z8yJfiXWKy
2,2022-05-23 23:34:41+00:00,Hillary Clinton gave a green light to gaslight the American electorate: Jonathan Turley https://t.co/69VINYpZIK
3,2022-05-23 23:28:49+00:00,TONIGHT: @mikepompeo weighs in on Biden’s upside down approach to China and his unraveling foreign policy. Tune in to @IngrahamAngle at 10p ET on Fox News Channel. https://t.co/ald531n9t1
4,2022-05-23 23:25:22+00:00,"‘Jurassic Park’s’ Laura Dern, Sam Neill reflect on 20-year age gap romance https://t.co/LBsUwBShJv"
5,2022-05-23 23:13:47+00:00,.@greggutfeld: NYC violence is random and it's brutal https://t.co/7TEHpIOzrs
6,2022-05-23 23:02:44+00:00,"Stagflation fears rising, with 77% of investors forecasting economic storm https://t.co/KI0ljSU7a4"
7,2022-05-23 23:01:54+00:00,"Dolphins use coral reef to treat skin conditions, study suggests https://t.co/xA1zZMjzoH"
8,2022-05-23 22:54:28+00:00,.@JudgeJeanine: Voters are thinking this guy is a 'loser' https://t.co/tS32lVfouC
9,2022-05-23 22:46:52+00:00,"‘Top Gun: Maverick’ star Val Kilmer’s daughter says watching his film was ‘extraordinary,’ ‘trippy’ experience https://t.co/G0fy56bwcE"
10,2022-05-23 22:31:02+00:00,"Border Patrol released suspected terrorist into U.S., ICE took weeks to rearrest him https://t.co/SEQ8LNoHHW"
11,2022-05-23 22:14:26+00:00,Man charged after allegedly fatally shooting driver in the eye https://t.co/nIzTXkcEFy
12,2022-05-23 21:58:39+00:00,Stacey Abrams comments about Georgia designed to 'fire up' liberal donors: Gov. Kemp https://t.co/5FXjTE0gBZ
13,2022-05-23 21:46:14+00:00,Biden's Taiwan comments reminiscent of Obama's 'red line in Syria' https://t.co/LxNIPobcLl
14,2022-05-23 21:34:43+00:00,MLB won't say if it regrets moving All-Star Game over GA voting law after voting records shatter narrative https://t.co/QXS3Bkc4ns
15,2022-05-23 21:32:32+00:00,FIRST ON FOX: @HawleyMO demands DHS Secretary Mayorkas turn over docs on disinformation board https://t.co/gPRrst812C
16,2022-05-23 21:24:57+00:00,'American Idol' 2022 finale: Noah Thompson wins season 20 https://t.co/mxknUDsOWB
17,2022-05-23 21:16:59+00:00,"After subway killing, NYC business community calls for more political action https://t.co/7Xo74Svaxq"
18,2022-05-23 21:10:36+00:00,MLB won't say if it regrets moving All-Star Game over GA voting law after voting records shatter narrative https://t.co/AfdAoqG8Ba
19,2022-05-23 21:01:23+00:00,"Man dressed as police officer to rob home, cops say https://t.co/4y7i7njqYs"
20,2022-05-23 20:51:17+00:00,Fauci warns against 'cacophony of falsehoods' during address at Princeton University https://t.co/pvhp2liroh
21,2022-05-23 20:47:10+00:00,"USFL Week 6 recap: Scores, standings and more as one team remains unbeaten https://t.co/DQn1qiRPcv"
22,2022-05-23 20:39:00+00:00,'Swords of Lightning' authors: It was time to show what Green Berets are all about https://t.co/VukwW77vnJ
23,2022-05-23 20:33:32+00:00,Prince Andrew to join Queen Elizabeth for Garter Day ceremony following sex abuse scandal https://t.co/jS5TWM6zpL
24,2022-05-23 20:19:05+00:00,State's AG files preliminary injunction to block new DHS asylum rule https://t.co/jjjBkIzh0Z
25,2022-05-23 20:08:14+00:00,"Carbon monoxide poisoning killed 3 Americans at resort, report says https://t.co/sggTZ0PSw9"
26,2022-05-23 20:03:05+00:00,A southern university must reinstate professor who was fired over 'Black privilege' tweets https://t.co/QQqaMrXIq3
27,2022-05-23 19:59:28+00:00,"Sofia Vergara, 49, poses in leopard-print swimsuit on Instagram https://t.co/1JHkRPfmKw"
28,2022-05-23 19:56:01+00:00,Queen Elizabeth arrives by golf cart to Chelsea Flower Show amid ‘episodic mobility issues’ https://t.co/nIETS20TEM
29,2022-05-23 19:48:17+00:00,Zuckerberg sued by DC AG over Cambridge Analytica scandal https://t.co/thDF6shj1H
30,2022-05-23 19:39:14+00:00,Washington Dem socialist congressional candidate calls for breaking into empty homes https://t.co/GF4zMwbaya
31,2022-05-23 19:23:05+00:00,"MSNBC, ABC, CBS, NBC ignore testimony that Clinton OK’d leaking of Trump-Russian allegations https://t.co/fpoUZgNxBc"
32,2022-05-23 19:15:37+00:00,Afghanistan's Taliban mandate face coverings for women news anchors https://t.co/RRgx5NHQ5w
33,2022-05-23 19:08:30+00:00,"Oxford shooting suspect Ethan Crumbley: Michigan school staff should have spotted 'red flags,' suit say https://t.co/UBcgs46Alr"
34,2022-05-23 19:02:08+00:00,"Putin's inner circle losing its power, Russian journalist says https://t.co/WaM9eOUpZy"
35,2022-05-23 18:56:28+00:00,10 job interview questions that candidates need to ask potential employers https://t.co/rJ4VrhFnZP
36,2022-05-23 18:51:45+00:00,Fishermen reel in rare black alligator gar: 'Wild experience' https://t.co/dOmL7xNThb
37,2022-05-23 18:40:50+00:00,.@GovKemp jumps on Stacey Abrams' comments that Georgia is ‘worst state in the country' https://t.co/UT8HZanRNk
38,2022-05-23 18:37:03+00:00,Biden goes more than 100 days without mainstream media interview: 'His handlers are petrified' https://t.co/eZiJjG5fR8
39,2022-05-23 18:21:12+00:00,Republicans call on Biden to push aggressive reforms to correct the WHO's 'corruption' https://t.co/I5TeApcHQ4
40,2022-05-23 18:13:48+00:00,.@kayleighmcenany on White House clarifying Biden's China-Taiwan remarks: 'These gaffes are alarming' https://t.co/2XzYVsHUOD
41,2022-05-23 18:10:04+00:00,Supreme Court sides with Arizona against death row inmates https://t.co/0mZioe7eDU
42,2022-05-23 18:00:10+00:00,Missing woman found chained in abandoned home reveals harrowing details of abduction https://t.co/EeKS28uoYO
43,2022-05-23 17:55:02+00:00,Varney: Hillary Clinton 'personally approved' the Russia hoax https://t.co/vN71LcTz1w
44,2022-05-23 17:50:00+00:00,COFFEE BREAK: Starbucks pulls out of Russian market over the country's invasion of Ukraine https://t.co/g4HqiHECpp
45,2022-05-23 17:45:10+00:00,"Supermodel Kate Moss, Johnny Depp's ex, will testify Wednesday about infamous staircase rumor https://t.co/C2skGXPU5k"
46,2022-05-23 17:40:07+00:00,Murdered cyclist Moriah Wilson's family releases statement as manhunt for suspect persists https://t.co/liqmg0BvxM
47,2022-05-23 17:35:04+00:00,"JUST PLANE WILD: Airline worker, passenger get into bloody brawl at check-in counter https://t.co/p7cawx7wDI"
48,2022-05-23 17:30:09+00:00,Piers Morgan on Biden's vow to defend Taiwan: This 'crazy situation' keeps happening https://t.co/UQ2eHJQPkV
49,2022-05-23 17:20:01+00:00,Johnny Depp vs. Amber Heard: 'Aquaman' actress mocked online throughout defamation trial https://t.co/SqaqvgVm0d
50,2022-05-23 17:10:07+00:00,'ABSOLUTELY A MIRACLE': Hiker rescued after falling off waterfall while snapping photo https://t.co/hXOCLiyxvj
51,2022-05-23 17:00:10+00:00,Conservative nonprofit launches new plan to take on Big Tech censorship https://t.co/vAr0fe697y
52,2022-05-23 16:50:04+00:00,Johnny Depp is receiving support from a former co-star. https://t.co/YHaDBPyzFF
53,2022-05-23 16:40:07+00:00,Kellyanne Conway blasts Hillary Clinton for pushing unvetted Trump-Russia collusion claims https://t.co/OT9TnGi7zQ
54,2022-05-23 16:30:06+00:00,"NOT SO CLUTCH: 'Go Topless Jeep Weekend' results in mass arrests, dozens of injuries https://t.co/u8dOxDAMjc"
55,2022-05-23 16:26:01+00:00,Johnny Depp to take stand for third time Wednesday in defamation trial against ex-wife Amber Heard https://t.co/aP309Cvl9v
56,2022-05-23 16:20:12+00:00,Biden considers tapping emergency diesel reserve with prices near record high https://t.co/WoZCoSJuwK
57,2022-05-23 16:10:03+00:00,Migrants stay in 'waiting rooms' along US border: Here's a closer look  https://t.co/ijF1FntIWW
58,2022-05-23 16:01:30+00:00,"Top Russia UN diplomat quits over Ukraine war, slams Putin https://t.co/zSQsYmdIc4"
59,2022-05-23 15:50:03+00:00,Depp vs Heard: The legal teams inside explosive defamation trial https://t.co/DEA4LiHMVS
60,2022-05-23 15:40:05+00:00,Rachel Campos-Duffy sounds alarm after touring Texas border https://t.co/qPJUfpurMM
61,2022-05-23 15:30:14+00:00,Police chief says he 'can't fathom' end of Title 42 as human smuggling surges in small town https://t.co/L86DiDwpzl
62,2022-05-23 15:30:10+00:00,'I WILL NOT MINCE WORDS': CEO of Abbott apologizes for formula shortage in Washington Post op-ed https://t.co/F91bfYoJHQ
63,2022-05-23 15:20:10+00:00,'HIS STAFF IS NUTS': Gingrich responds to White House correcting Biden's remark on defending Taiwan against China  https://t.co/aAEWYS3DPZ
64,2022-05-23 15:20:05+00:00,SQUARING OFF: Smash-and-grab robbers pick fight with the wrong shop https://t.co/1b8bMLpWX1
65,2022-05-23 15:15:07+00:00,"NYPD releases photos of suspect in 'tragic, senseless' subway shooting https://t.co/Y7MwPWgwZM"
66,2022-05-23 15:13:53+00:00,"WATCH LIVE: Former Federal Reserve Chair Ben Bernanke participates in inflation, COVID webinar
https://t.co/29gOYSF4ef https://t.co/zwtAbprnaL"
67,2022-05-23 15:10:04+00:00,REALLY LOVIN' IT: Man eats Big Macs almost every day for 50 years https://t.co/VJWsVFeIQB
68,2022-05-23 15:05:07+00:00,Ukraine war crimes trial: Russian soldier sentenced to life in prison for killing civilian https://t.co/fjvJTaeePV
69,2022-05-23 15:00:21+00:00,CNN's John Harwood flamed for minimizing effects of inflation on American families https://t.co/qEYnC0O8Op
70,2022-05-23 14:36:49+00:00,FOX NEWS FIRST: Biden announces new Indo-Pacific trade framework as China asserts dominance in the East https://t.co/uPXLP39zN1
71,2022-05-23 14:30:11+00:00,"Ford, Kia and Hyundai recalling electric SUVs due to software safety glitches https://t.co/vGWfOMzmnG"
72,2022-05-23 14:20:03+00:00,"US embassy in Kyiv, Ukraine, could be guarded by American troops, Pentagon sources say https://t.co/4qx5iege6S"
73,2022-05-23 14:15:57+00:00,"BREAKING: Supreme Court again declines to rule in abortion case, despite protests https://t.co/2z0BsxwYcv"
74,2022-05-23 14:10:03+00:00,Bush dynasty on the line as challenger George P. Bush tries to upset Trump-backed Texas AG Ken Paxton https://t.co/DtWJktEaLz
75,2022-05-23 14:00:08+00:00,Memorial Day 2022: Five facts you need to know about this American holiday https://t.co/NGDDyM8Vyv
76,2022-05-23 13:50:05+00:00,"Supreme Court could rule on Roe v. Wade on Monday, as Biden admin braces for violence after decision https://t.co/QlTXaOZNtj"
