"","X","Date","text"
"1",0,"2022-04-29 23:40:08+00:00","Linemen and receivers took center stage in the typically unpredictable first round of the NFL draft — with plenty of choices that could backfire. Here's what we learned. https://t.co/IQQtxYd69N"
"2",1,"2022-04-29 23:00:10+00:00","In Opinion

J.D. Vance's ""Trumpian turn has left a wide variety of people wondering whether it arises from sincere conversion or cynical calculation. But there is something more complex going on,"" writes Christopher Caldwell. https://t.co/0PxGyrZLmR"
"3",2,"2022-04-29 22:40:05+00:00","The pandemic has upended the rigid 9-to-5 workday: Some workers have added a third shift to their evenings, following midmorning and after-lunch crunches, as companies scramble to adjust to a new understanding of working hours.
https://t.co/gHRSrQ8CyR"
"4",3,"2022-04-29 22:00:16+00:00","As a Manhattan grand jury wraps up its review of the criminal case against Donald Trump over his business practices, new signs have emerged that he will not be indicted there in the foreseeable future — if at all.
https://t.co/gqAPweAiHl"
"5",4,"2022-04-29 21:53:06+00:00","“If Mariupol is hell, Azovstal is worse.” The mayor of Mariupol, Ukraine, appealed for international help evacuating civilians as conditions deteriorated inside the Azovstal steel complex, the city’s last holdout for Ukrainian fighters and civilians. https://t.co/iYVgfpYOe6 https://t.co/1wWFrTYVTQ"
"6",5,"2022-04-29 21:45:05+00:00","“If he goes down with the ship, we’re going down with him.”

Johnny Depp fans jumped to his defense during a closely watched defamation trial against Amber Heard, illustrating how complex claims can be filtered through the lens of extreme fandom. https://t.co/NxL1YvVg29"
"7",6,"2022-04-29 21:30:09+00:00","A price index showed that through March, the U.S. faced the fastest pace of inflation since 1982, likely paving the way for policymakers to make a large increase in interest rates next week. https://t.co/J9dBfQh2iF"
"8",7,"2022-04-29 21:22:04+00:00","A Minnesota politician was three minutes into a speech when she started going into labor. The proceedings went on, and videos of Erin Maye Quade’s speech ricocheted across the internet, with critics saying the process should have been suspended. https://t.co/bFPo56XAZC"
"9",8,"2022-04-29 21:15:05+00:00","Russian forces are accused of detaining two British men who had traveled to Ukraine to assist humanitarian efforts, raising worries about their well-being. https://t.co/31k3UbdC3A"
"10",9,"2022-04-29 21:00:22+00:00","Instacart, the grocery delivery start-up, is facing an uncertain future. The company has parted ways with its founder and shifted its strategy as it tries to avoid becoming another pandemic boom company that has fizzled, like Peloton or Zoom.
https://t.co/cgFArx7OIE"
"11",10,"2022-04-29 20:50:07+00:00","“To speak of the Los Angeles riots is to speak of dozens of events involving multiple cities and counties, an overlapping but not always congruous set of memories and perspectives that do not neatly map onto one another,” @trapmotives writes in @NYTMag. https://t.co/YMnrmfm5Zd"
"12",11,"2022-04-29 20:40:06+00:00","Two people were killed Friday morning when a subway train hit them at a Manhattan station. The police said the victims were walking through the tunnel when they were struck and may have been homeless. https://t.co/LrgX4tHycP"
"13",12,"2022-04-29 20:30:05+00:00","The FDA on Friday laid out a tentative timetable for deciding whether to authorize a coronavirus vaccine for children under 5, announcing that June 8 is the earliest date that it will present data to its outside advisers for a recommendation. https://t.co/wNHgkn2jlm"
"14",13,"2022-04-29 20:25:02+00:00","Today is the 30th anniversary of the 1992 LA riots. At the time, Héctor Tobar was a young reporter at The Los Angeles Times when the city erupted in violence. In this week's @NYTMag cover story, he remembers: what really happened — and what didn’t? https://t.co/b5vxa6adoi"
"15",14,"2022-04-29 20:19:05+00:00","“We want to go home,” a girl says in one video. “We want to see the sunshine.”

In the absence of independent media to chronicle their plight, fighters inside a steel plant in Mariupol, Ukraine, are publishing videos to show the world their hardship. https://t.co/tKtsv4Fvig"
"16",15,"2022-04-29 20:13:31+00:00","Breaking News: Stocks plunged nearly 9% in April, the S&amp;P 500’s worst month since March 2020, as investors’ fears about the economic outlook mounted. https://t.co/QlLnWt0gvh"
"17",16,"2022-04-29 20:10:05+00:00","Hundreds of New York City construction workers gathered for an annual Mass at St. Patrick’s Cathedral on Thursday honoring colleagues who died on the job. Most were non-union workers, who are disproportionately injured and killed at construction sites. https://t.co/U3zxdUt5XC https://t.co/kX9BvVak4U"
"18",17,"2022-04-29 20:05:02+00:00","A federal judge on Friday sentenced a British terrorist to life in prison for his central role in the kidnap, torture and killing of Western hostages who were held by the Islamic State in Syria. https://t.co/aELabuBGVl"
"19",18,"2022-04-29 19:59:27+00:00","Read this story in Arabic: https://t.co/vE6B1UoQb5 https://t.co/5C3PKVfdDq"
"20",19,"2022-04-29 19:50:02+00:00","The body of Vira Hyrych, a prominent Ukrainian radio journalist, was recovered after a Russian missile strike on her apartment building in Kyiv. She had worked for Radio Free Europe/Radio Liberty, a U.S.-funded independent news organization, since 2018.
https://t.co/kHqKQiSN3c https://t.co/D7Gariy399"
"21",20,"2022-04-29 19:35:05+00:00","The Los Angeles Dodgers pitcher Trevor Bauer was suspended without pay for two seasons for violating MLB’s domestic violence and sexual assault policy. https://t.co/HQ2SolDh46"
"22",21,"2022-04-29 19:30:06+00:00","Trump-inspired Republicans challenging sitting GOP governors have harnessed anti-establishment energy. But in all of the races, the incumbents are showing strength. https://t.co/tnLy8fag9O"
"23",22,"2022-04-29 19:20:04+00:00","""It’s a knife fight"": Russia appears to be ""several days behind"" schedule in its offensive on the Donbas region of eastern Ukraine as it faces stiff Ukrainian resistance and continuing supply line problems, a senior Pentagon official said Friday. https://t.co/rEE6Zkw6Wj"
"24",23,"2022-04-29 19:11:02+00:00","It began as a low-level traffic stop in Michigan. But when a white officer fatally shot Patrick Lyoya, a Black man, it turned into the type of stop that raised questions of racial profiling, use of excessive force and the overpolicing of traffic stops. https://t.co/NmA2fJbLHx https://t.co/0PffwfuQNv"
"25",24,"2022-04-29 19:00:11+00:00","A Russian oil embargo, expected to be difficult and costly to Europe, was considered unlikely when the war began. But positions have hardened, and NATO countries are sending more weapons to Ukraine and more troops to its neighbors. https://t.co/fSfEiFuJvb"
"26",25,"2022-04-29 18:45:07+00:00","A type of the bird flu that has led to outbreaks in poultry in 30 states has been found in a person in Colorado, federal officials announced. It is the first known human infection of the bird flu currently spreading in the U.S. https://t.co/5lmxJKQ3f3"
"27",26,"2022-04-29 18:30:08+00:00","A large swath of the U.S. faced twin weather threats on Friday as a severe drought turned parts of the Southwest into a tinderbox, ripe for more wildfires, and powerful storms threatened to produce tornadoes and hail across the Central Plains. https://t.co/EqLKUyGwtK"
"28",27,"2022-04-29 18:22:05+00:00","In tragedy, music provided solace during the AIDS epidemic, and newly discovered cassette tapes captured two decades of parties and pain.
https://t.co/29vq7vrUxM"
"29",28,"2022-04-29 18:15:10+00:00","It was only a fish! It was only a fish! https://t.co/CD3dL8tc0Y https://t.co/r2zpIaGTai"
"30",29,"2022-04-29 18:00:05+00:00","A couple digitized dozens of cassettes they found in their Fire Island home. The tapes, accumulated from 1979 to 1999, captured the soundtrack to a critical juncture in gay history as the AIDS crisis emerged. https://t.co/iNt3Wn4OCn"
"31",30,"2022-04-29 17:45:10+00:00","""It's horrible. There is nothing left.""

Her older brother went missing in besieged eastern Ukraine. Her search for him ended at a body bag. https://t.co/z6ubCib20i https://t.co/htwWZUfutU"
"32",31,"2022-04-29 17:33:59+00:00","Elon Musk sold $8.5 billion in Tesla stock this week as he moved to amass the funds he needs to buy Twitter. The electric carmaker’s shares have fallen 20 percent since Musk revealed that he had bought a 9 percent stake in Twitter in early April. https://t.co/ATlceo46bm"
"33",32,"2022-04-29 17:30:13+00:00","This is how Gov. Ron DeSantis, a possible 2024 contender, turned Florida into an unlikely laboratory for right-wing policy. https://t.co/xvS0qQmlqB"
"34",33,"2022-04-29 17:00:24+00:00","Officials closed schools in Beijing on Friday, and dozens of buildings are under lockdown, as a Covid outbreak continues to alarm Chinese leaders. The government is carrying out mass testing this week for nearly all 22 million residents of China's capital. https://t.co/UP2y2xumUH"
"35",34,"2022-04-29 16:45:11+00:00","Powder Springs, a predominantly Black suburb in Georgia, may soon be represented in Congress by Marjorie Taylor Greene. But some residents say they have little trust she will give them the same respect that she gives to her white, Republican constituents. https://t.co/6SAlLcWl2s"
"36",35,"2022-04-29 16:36:45+00:00","A prominent Ukrainian radio journalist, Vira Hyrych, was killed on Thursday in a Russian missile strike on her apartment building Kyiv. At least seven journalists have been killed while covering the war, according to the Committee to Protect Journalists. https://t.co/iTmy8l0zxl"
"37",36,"2022-04-29 16:30:11+00:00","The UN is helping prosecutors investigate allegations of Russian soldiers committing sexual violence against Ukrainians. But finding clear evidence that sex crimes were committed as a tactic of war is rare, and cases can be difficult to prove. https://t.co/m9WA5VN22a"
"38",37,"2022-04-29 16:26:30+00:00","Breaking News: European Union countries are likely to approve as early as next week a phased embargo on Russian oil, sealing a long-postponed measure that has divided the bloc’s members and highlighted their dependence on Russian energy sources. https://t.co/tPjRQW0vdW"
"39",38,"2022-04-29 16:00:16+00:00","¿El coronavirus ya es endémico? Funcionarios en México, la UE y otros lugares han indicado que se está superando la fase aguda de la pandemia. Otros líderes llaman a ser cautos. Aquí analizamos lo que significa que una enfermedad se convierta en endémica. https://t.co/vT9KLK4Y9G"
"40",39,"2022-04-29 15:50:04+00:00","Jim Ratcliffe, one of Britain’s richest men, offered $5.3 billion to buy Chelsea FC, the Premier League soccer team. It would be the highest price ever paid for a sports team. https://t.co/TyMkoSJdb0"
