,Date,text
0,2022-04-29 23:40:08+00:00,Linemen and receivers took center stage in the typically unpredictable first round of the NFL draft — with plenty of choices that could backfire. Here's what we learned. http
1,2022-04-29 23:00:10+00:00,"In Opinion

J.D. Vance's ""Trumpian turn has left a wide variety of people wondering whether it arises from sincere conversion or cynical calculation. But there is something more complex going on,"" writes Christopher Caldwell. http"
2,2022-04-29 22:40:05+00:00,"The pandemic has upended the rigid 9-to-5 workday: Some workers have added a third shift to their evenings, following midmorning and after-lunch crunches, as companies scramble to adjust to a new understanding of working hours.
http"
3,2022-04-29 22:00:16+00:00,"As a Manhattan grand jury wraps up its review of the criminal case against Donald Trump over his business practices, new signs have emerged that he will not be indicted there in the foreseeable future — if at all.
http"
4,2022-04-29 21:53:06+00:00,"“If Mariupol is hell, Azovstal is worse.” The mayor of Mariupol, Ukraine, appealed for international help evacuating civilians as conditions deteriorated inside the Azovstal steel complex, the city’s last holdout for Ukrainian fighters and civilians. http http"
5,2022-04-29 21:45:05+00:00,"“If he goes down with the ship, we’re going down with him.”

Johnny Depp fans jumped to his defense during a closely watched defamation trial against Amber Heard, illustrating how complex claims can be filtered through the lens of extreme fandom. http"
6,2022-04-29 21:30:09+00:00,"A price index showed that through March, the U.S. faced the fastest pace of inflation since 1982, likely paving the way for policymakers to make a large increase in interest rates next week. http"
7,2022-04-29 21:22:04+00:00,"A Minnesota politician was three minutes into a speech when she started going into labor. The proceedings went on, and videos of Erin Maye Quade’s speech ricocheted across the internet, with critics saying the process should have been suspended. http"
8,2022-04-29 21:15:05+00:00,"Russian forces are accused of detaining two British men who had traveled to Ukraine to assist humanitarian efforts, raising worries about their well-being. http"
9,2022-04-29 21:00:22+00:00,"Instacart, the grocery delivery start-up, is facing an uncertain future. The company has parted ways with its founder and shifted its strategy as it tries to avoid becoming another pandemic boom company that has fizzled, like Peloton or Zoom.
http"
10,2022-04-29 20:50:07+00:00,"“To speak of the Los Angeles riots is to speak of dozens of events involving multiple cities and counties, an overlapping but not always congruous set of memories and perspectives that do not neatly map onto one another,” @user writes in @user http"
11,2022-04-29 20:40:06+00:00,Two people were killed Friday morning when a subway train hit them at a Manhattan station. The police said the victims were walking through the tunnel when they were struck and may have been homeless. http
