,tweetcreatedts,text,language,username
0,2021-12-20 22:32:28+00:00,"@FoxNews please  Bottom line is last social security weren't even funded, medicare not properly funded , southern border being invaded, china and russia on the run and the WH just wants to punish law abiding tax paying  american citizens. No more trillions!!! Their plans don't work",en,dollydemarco
1,2021-12-20 14:54:08+00:00,@FoxNews Which country?  Russia?,en,the_Neb
2,2021-12-20 13:08:18+00:00,@FoxNews China and Russia now understand that the US can not manage a mass casualty event. Play chess not checkers.  Look below the obvious.,en,PeytonBasil
3,2021-12-20 09:33:55+00:00,@FoxNews I'll say it again he went to the Communist Russia on his honeymoon what does that tell you about the man Putin probably put him up in the best hotel in Moscow,en,RCNorman2628
0,2021-12-21 21:48:08+00:00,"@FoxNews Flourishing to whom? Biden's, Clintons, Obamas, PELOSI?!!! All government offices?!!! Russia, china, etc.?!!!",en,KellyABarnes1
1,2021-12-21 19:55:30+00:00,"@FoxNews So, it's okay to vote for someone whose children are strung out, who is known for being corrupt, Ukraine comes to mind, yet when one democratically acts on behalf of their constituents that's considered corrupt, uneducated, and backward.  Devine Ms. Orwell.",en,rmpsunair
2,2021-12-21 19:04:55+00:00,@FoxNews Russia and FOX https://t.co/SPp2ZXR8IM,en,BlueViking10
3,2021-12-21 18:53:18+00:00,@FoxNews Her choice. Her body. She may get her wish.  She can see Russia from her house!!  LOL,en,chefDRoB
4,2021-12-21 18:19:03+00:00,@FoxNews a socialist communist who went to Russia on a honeymoon  What do you expect,en,JoelMedic34
5,2021-12-21 15:06:37+00:00,"@FoxNews Yep, the drugs they took were much less harmful. Does she still watch Russia from her porch?",en,cheryldhanna
6,2021-12-21 15:02:09+00:00,"@FoxNews Your are promoting a man who killed two people. You are promoting the words of an 18 year old. What is his background, his expertise? Nothing. You have created these false idols. Reminder: your Tucker Carlson wants to know how come we can’t support Russia.",en,AliceGlencross
7,2021-12-21 14:35:59+00:00,@FoxNews And she can see Russia from her house!,en,RidiculousRhet1
8,2021-12-21 13:00:32+00:00,"@FoxNews Strong endorsement for the vaccines.  And, she can see Russia from her house!",en,JenksieCat
9,2021-12-21 07:22:37+00:00,"@FoxNews The Sarah Palin who once said she was seeing Russia from Alaska?... Yeah, she's not all there, sorry (but not sorry). Why do Fox has most of the time interviews with weirdos?",en,schapdelaine
10,2021-12-21 05:28:41+00:00,@FoxNews How about the fact that China and Russia are advancing their weapon and military capabilities at an exponential rate and our military is teaching which are the correct pronouns to use?!?!?!?!,en,dunlasco
11,2021-12-21 04:50:18+00:00,"@FoxNews Couldnt even stop him or his brother from making millions from ""construction"" projects in afghanistan on the backs of dead marines. Cant even get his son for nailing underage girls with video proof and doing illegal business in china and ukraine. How are u now?",en,458socomready
12,2021-12-21 04:38:21+00:00,"@FoxNews There wouldn't be a problem if you call Joke Biden a dumbass, he will think you are talking about a region in Ukraine",en,ronwollman
13,2021-12-21 04:35:41+00:00,@FoxNews By blocking ambassador appointments so he can get his sanction EU companies for building Russia's pipeline legislation to the floor.\n\nBold.,en,100percenttrue3
0,2021-12-22 21:08:25+00:00,@FoxNews Smokskcreem....Russia.,en,midwayenglewood
1,2021-12-22 20:54:09+00:00,@FoxNews Wonder if Russia is causing heart inflammation in their soldiers,en,CaffeineCow
2,2021-12-22 17:43:32+00:00,"@FoxNews America is at it weakest in decades with current leader and media excuse won't avert Russia,China or Iran from testing thier expansion",en,Bokyboy2
3,2021-12-22 17:37:32+00:00,"@FoxNews All these people say they are anti-slavery but follow everything Master Joe, Madame Kamala and The Doc say. Get a shot. Wear a mask. Give me your money. Attack businesses. Defund police. Blame Russia. Love China. Snap out of it and open your eyes people.",en,BrewmasterD
4,2021-12-22 16:52:02+00:00,@FoxNews @JesseBWatters We have room for you here in Mother Russia🇷🇺😘 https://t.co/phUmeBKzta,en,Jason27614314
5,2021-12-22 14:48:03+00:00,@FoxNews You mean the same guy who thought that 1/6 rioters were tourists &amp; that it was no big deal? The same Senator who went to Russia over July 4th weekend for reasons still unknown while telling his constituents he was at home? The same guy who spreads election fraud lies? Who cares.,en,Michael20818399
6,2021-12-22 12:54:22+00:00,"@FoxNews Remember when Michael Flynn hid ties to Russia and Turkey, and people on this network made excuses for him and called the whole thing a ""witch hunt?""",en,maier_amsden
7,2021-12-22 12:38:48+00:00,"@FoxNews Isn't Ron Johnson the great Patriot who spent the 4th of July in Russia a few years ago? That paragon of virtue, intelligence, and integrity Ron Johnson?",en,christoddva
8,2021-12-22 12:28:37+00:00,"@FoxNews Because having a defense budget 3x &gt; China &amp; 12x &gt; Russia is better than affordable drugs, childcare, education, dental care for seniors and a liveable planet. \n\nGod save the defense contractor, energy &amp; drug CEO salaries!",en,ktraco2pups
9,2021-12-22 11:49:11+00:00,@FoxNews Is this from Russia?,en,BarbariansNGate
10,2021-12-22 11:12:57+00:00,@FoxNews Weird how people think there's  no cooperation between nations to solve scientific issues. The USA being rocketing to the international space station for a decade  via Russia while saying Putins an asshole.,en,o_tonypaulsen31
11,2021-12-22 11:10:54+00:00,"@FoxNews That's true since there the ones who concluded with China and Russia so much, why Schiff&amp;Sandler not Impeaching him, Hunter,Hillary,Obama they have real evidence on all them! The double standard period!",en,philippogue
12,2021-12-22 10:37:24+00:00,@FoxNews lol The guy who spends his 4th July holiday in Russia has thoughts.,en,maynardkeynes4
13,2021-12-22 03:37:02+00:00,@FoxNews Biden needs to do something about the inflation in Russia.\n\nhttps://t.co/PPaqAeDFQw,en,AuntIkeRyste
14,2021-12-22 02:47:53+00:00,"@FoxNews Evidence may show that the Democratic machine conspired with Russia to create, with the media, an impression that Trump  was conspiring with Russia. How did this all backfire? Answer- Hillary Clinton's Email wrong doings.",en,AnthonySTota5
0,2021-12-23 20:41:55+00:00,@FoxNews Why stop there ?\n\nMove all manufacturing to elsewhere. \n\nBuild a dome over Russia and China... and any other autocracies with zero respect for human life.,en,DennyCrane_007
1,2021-12-23 18:28:41+00:00,@FoxNews Maybe the west should follow china and Russia and have a very controle state media. The press are like vultures,en,carolin84531299
2,2021-12-23 17:29:26+00:00,"@FoxNews Ukraine , and Taiwan will fall in no time and he is still so confident ---They just dare you to engage in a nuclear war , knowing for sure it won't happen.    Strikes can be lightning quick.",en,lui_cw
3,2021-12-23 16:03:20+00:00,"@FoxNews Hell, it worked for Iraq, Iran, Syria, Afghanistan, now China and Russia, so why stop!!",en,monamamu
4,2021-12-23 05:10:38+00:00,"@FoxNews Europe and America are powerless to stop the Russian oligarch in Georgia.  Putin wins over democracy.  I'm sorry about Ukraine.  Partners blah, blah, blah, nothing more.  Freedom to Misha.✌😭",en,nadri48559179
0,2021-12-24 23:51:40+00:00,@FoxNews Russia was never involved with Trump but notice how the Democrats had to lie about stuff what about Hunter Biden what about the Democrats and all they've done focus on the Democrats get down to the problem,en,DiltzRick
1,2021-12-24 23:46:04+00:00,"@FoxNews Putin deploys 120k troops to the Ukrainian broader, than when people complain, he’s like, please tells Ukraine to stand down and nobody will get hurt. This is like a hostage situation.",en,mike_from_sea
