,Unnamed: 0,tweetcreatedts,text,language,username,label,score
0,0,2021-12-20 22:32:28+00:00,"@FoxNews please  Bottom line is last social security weren't even funded, medicare not properly funded , southern border being invaded, china and russia on the run and the WH just wants to punish law abiding tax paying  american citizens. No more trillions!!! Their plans don't work",en,dollydemarco,Negative,0.924217164516449
1,1,2021-12-20 14:54:08+00:00,@FoxNews Which country?  Russia?,en,the_Neb,Neutral,0.8076711893081665
2,2,2021-12-20 13:08:18+00:00,@FoxNews China and Russia now understand that the US can not manage a mass casualty event. Play chess not checkers.  Look below the obvious.,en,PeytonBasil,Negative,0.742830216884613
3,3,2021-12-20 09:33:55+00:00,@FoxNews I'll say it again he went to the Communist Russia on his honeymoon what does that tell you about the man Putin probably put him up in the best hotel in Moscow,en,RCNorman2628,Neutral,0.5406872630119324
4,0,2021-12-21 21:48:08+00:00,"@FoxNews Flourishing to whom? Biden's, Clintons, Obamas, PELOSI?!!! All government offices?!!! Russia, china, etc.?!!!",en,KellyABarnes1,Negative,0.5664040446281433
5,1,2021-12-21 19:55:30+00:00,"@FoxNews So, it's okay to vote for someone whose children are strung out, who is known for being corrupt, Ukraine comes to mind, yet when one democratically acts on behalf of their constituents that's considered corrupt, uneducated, and backward.  Devine Ms. Orwell.",en,rmpsunair,Negative,0.8532531261444092
6,2,2021-12-21 19:04:55+00:00,@FoxNews Russia and FOX https://t.co/SPp2ZXR8IM,en,BlueViking10,Neutral,0.7399255037307739
7,3,2021-12-21 18:53:18+00:00,@FoxNews Her choice. Her body. She may get her wish.  She can see Russia from her house!!  LOL,en,chefDRoB,Neutral,0.6152695417404175
8,4,2021-12-21 18:19:03+00:00,@FoxNews a socialist communist who went to Russia on a honeymoon  What do you expect,en,JoelMedic34,Negative,0.6962859034538269
9,5,2021-12-21 15:06:37+00:00,"@FoxNews Yep, the drugs they took were much less harmful. Does she still watch Russia from her porch?",en,cheryldhanna,Neutral,0.5186920166015625
10,6,2021-12-21 15:02:09+00:00,"@FoxNews Your are promoting a man who killed two people. You are promoting the words of an 18 year old. What is his background, his expertise? Nothing. You have created these false idols. Reminder: your Tucker Carlson wants to know how come we can’t support Russia.",en,AliceGlencross,Negative,0.9189115762710571
11,7,2021-12-21 14:35:59+00:00,@FoxNews And she can see Russia from her house!,en,RidiculousRhet1,Neutral,0.5283670425415039
12,8,2021-12-21 13:00:32+00:00,"@FoxNews Strong endorsement for the vaccines.  And, she can see Russia from her house!",en,JenksieCat,Neutral,0.47382888197898865
13,9,2021-12-21 07:22:37+00:00,"@FoxNews The Sarah Palin who once said she was seeing Russia from Alaska?... Yeah, she's not all there, sorry (but not sorry). Why do Fox has most of the time interviews with weirdos?",en,schapdelaine,Negative,0.8126460313796997
14,10,2021-12-21 05:28:41+00:00,@FoxNews How about the fact that China and Russia are advancing their weapon and military capabilities at an exponential rate and our military is teaching which are the correct pronouns to use?!?!?!?!,en,dunlasco,Negative,0.5973907709121704
15,11,2021-12-21 04:50:18+00:00,"@FoxNews Couldnt even stop him or his brother from making millions from ""construction"" projects in afghanistan on the backs of dead marines. Cant even get his son for nailing underage girls with video proof and doing illegal business in china and ukraine. How are u now?",en,458socomready,Negative,0.8988940715789795
16,12,2021-12-21 04:38:21+00:00,"@FoxNews There wouldn't be a problem if you call Joke Biden a dumbass, he will think you are talking about a region in Ukraine",en,ronwollman,Negative,0.6712446808815002
17,13,2021-12-21 04:35:41+00:00,@FoxNews By blocking ambassador appointments so he can get his sanction EU companies for building Russia's pipeline legislation to the floor.\n\nBold.,en,100percenttrue3,Negative,0.8067310452461243
18,0,2021-12-22 21:08:25+00:00,@FoxNews Smokskcreem....Russia.,en,midwayenglewood,Neutral,0.5588867664337158
19,1,2021-12-22 20:54:09+00:00,@FoxNews Wonder if Russia is causing heart inflammation in their soldiers,en,CaffeineCow,Negative,0.6411654949188232
20,2,2021-12-22 17:43:32+00:00,"@FoxNews America is at it weakest in decades with current leader and media excuse won't avert Russia,China or Iran from testing thier expansion",en,Bokyboy2,Negative,0.8483401536941528
21,3,2021-12-22 17:37:32+00:00,"@FoxNews All these people say they are anti-slavery but follow everything Master Joe, Madame Kamala and The Doc say. Get a shot. Wear a mask. Give me your money. Attack businesses. Defund police. Blame Russia. Love China. Snap out of it and open your eyes people.",en,BrewmasterD,Negative,0.6278774738311768
22,4,2021-12-22 16:52:02+00:00,@FoxNews @JesseBWatters We have room for you here in Mother Russia🇷🇺😘 https://t.co/phUmeBKzta,en,Jason27614314,Positive,0.8475707173347473
23,5,2021-12-22 14:48:03+00:00,@FoxNews You mean the same guy who thought that 1/6 rioters were tourists &amp; that it was no big deal? The same Senator who went to Russia over July 4th weekend for reasons still unknown while telling his constituents he was at home? The same guy who spreads election fraud lies? Who cares.,en,Michael20818399,Negative,0.8119112849235535
24,6,2021-12-22 12:54:22+00:00,"@FoxNews Remember when Michael Flynn hid ties to Russia and Turkey, and people on this network made excuses for him and called the whole thing a ""witch hunt?""",en,maier_amsden,Negative,0.756285548210144
25,7,2021-12-22 12:38:48+00:00,"@FoxNews Isn't Ron Johnson the great Patriot who spent the 4th of July in Russia a few years ago? That paragon of virtue, intelligence, and integrity Ron Johnson?",en,christoddva,Positive,0.5414958000183105
26,8,2021-12-22 12:28:37+00:00,"@FoxNews Because having a defense budget 3x &gt; China &amp; 12x &gt; Russia is better than affordable drugs, childcare, education, dental care for seniors and a liveable planet. \n\nGod save the defense contractor, energy &amp; drug CEO salaries!",en,ktraco2pups,Negative,0.5940907001495361
27,9,2021-12-22 11:49:11+00:00,@FoxNews Is this from Russia?,en,BarbariansNGate,Neutral,0.7134193778038025
28,10,2021-12-22 11:12:57+00:00,@FoxNews Weird how people think there's  no cooperation between nations to solve scientific issues. The USA being rocketing to the international space station for a decade  via Russia while saying Putins an asshole.,en,o_tonypaulsen31,Negative,0.789075493812561
29,11,2021-12-22 11:10:54+00:00,"@FoxNews That's true since there the ones who concluded with China and Russia so much, why Schiff&amp;Sandler not Impeaching him, Hunter,Hillary,Obama they have real evidence on all them! The double standard period!",en,philippogue,Negative,0.577104389667511
30,12,2021-12-22 10:37:24+00:00,@FoxNews lol The guy who spends his 4th July holiday in Russia has thoughts.,en,maynardkeynes4,Negative,0.588103175163269
31,13,2021-12-22 03:37:02+00:00,@FoxNews Biden needs to do something about the inflation in Russia.\n\nhttps://t.co/PPaqAeDFQw,en,AuntIkeRyste,Neutral,0.6043376326560974
32,14,2021-12-22 02:47:53+00:00,"@FoxNews Evidence may show that the Democratic machine conspired with Russia to create, with the media, an impression that Trump  was conspiring with Russia. How did this all backfire? Answer- Hillary Clinton's Email wrong doings.",en,AnthonySTota5,Negative,0.6381049752235413
33,0,2021-12-23 20:41:55+00:00,@FoxNews Why stop there ?\n\nMove all manufacturing to elsewhere. \n\nBuild a dome over Russia and China... and any other autocracies with zero respect for human life.,en,DennyCrane_007,Negative,0.8912810683250427
34,1,2021-12-23 18:28:41+00:00,@FoxNews Maybe the west should follow china and Russia and have a very controle state media. The press are like vultures,en,carolin84531299,Negative,0.6325501799583435
35,2,2021-12-23 17:29:26+00:00,"@FoxNews Ukraine , and Taiwan will fall in no time and he is still so confident ---They just dare you to engage in a nuclear war , knowing for sure it won't happen.    Strikes can be lightning quick.",en,lui_cw,Negative,0.7922013998031616
36,3,2021-12-23 16:03:20+00:00,"@FoxNews Hell, it worked for Iraq, Iran, Syria, Afghanistan, now China and Russia, so why stop!!",en,monamamu,Negative,0.5320332646369934
37,4,2021-12-23 05:10:38+00:00,"@FoxNews Europe and America are powerless to stop the Russian oligarch in Georgia.  Putin wins over democracy.  I'm sorry about Ukraine.  Partners blah, blah, blah, nothing more.  Freedom to Misha.✌😭",en,nadri48559179,Negative,0.8811091184616089
38,0,2021-12-24 23:51:40+00:00,@FoxNews Russia was never involved with Trump but notice how the Democrats had to lie about stuff what about Hunter Biden what about the Democrats and all they've done focus on the Democrats get down to the problem,en,DiltzRick,Negative,0.6050340533256531
39,1,2021-12-24 23:46:04+00:00,"@FoxNews Putin deploys 120k troops to the Ukrainian broader, than when people complain, he’s like, please tells Ukraine to stand down and nobody will get hurt. This is like a hostage situation.",en,mike_from_sea,Negative,0.7802532315254211
40,2,2021-12-24 22:54:02+00:00,@FoxNews Keep that shit in Russia,en,demsrnuts21,Negative,0.855350136756897
41,3,2021-12-24 20:06:06+00:00,"@FoxNews So NH Jones not happy about Press failure to react to her theory. Im a little upset about the Press failure to explore Hunter Biden’s Ukraine connection or his laptop. I guess it’s safe to assume the Press picks and chooses it topics, so generally not objectve. Oh well, too bad.",en,1975_rpc,Negative,0.8159441947937012
42,4,2021-12-24 19:23:28+00:00,@FoxNews Putin is DAMN RIGHT! Imagine MOSCOW's long range missiles in CUBA and NICARAGUA. The naked truth is that it is NATO and NOT Moscow which is pushing for a MILITARY confrontation. As far as AI am concerned the relation between UKRAINE and RUSSIA is NONE of NATO's business!!!,en,GunoSra,Negative,0.7324715852737427
43,5,2021-12-24 19:09:57+00:00,@FoxNews Rest assured of a US deployment to Poland should the Evil Empire take Ukraine.,en,RAPhil,Negative,0.5781539678573608
44,6,2021-12-24 19:01:37+00:00,@FoxNews Let's nuke russia and then there will be peace in Europe,en,holsher,Neutral,0.5858549475669861
45,7,2021-12-24 18:56:33+00:00,@FoxNews We should have done what General Patton say and take out Russia while we had the troops there to do it. Then we would not be this tension of war.,en,domjrcam,Negative,0.5284566283226013
46,8,2021-12-24 18:52:34+00:00,@FoxNews Putin doesn’t get to make demands of the U.S. especially if he’s preparing to invade Ukraine.,en,SteveBassDC,Negative,0.7020107507705688
47,9,2021-12-24 18:50:42+00:00,@FoxNews trump capitulated to russia in person watered down sanctions ukraine trump was foreign policy disaster china had him for breakfast thy r now surrounding us with their goods and services like their a weapon russia's weapon cybercrime their not firing a shot but they r winning,en,BowelTodays,Negative,0.8951579332351685
48,10,2021-12-24 18:43:37+00:00,@FoxNews Can't this guy take a hint? Quit threatening Ukraine!,en,RWDISTILLI,Negative,0.9203119277954102
49,11,2021-12-24 18:16:16+00:00,"@FoxNews Now there is someone that makes Biden look cheap when you consider how much money she got from foreign countries. How did she sell American uranium to a Russian and make $Billions? How did Bill make $700,000 fir giving a 15 minute speech in Russia? She paid a Russian for Dossier!",en,Frank5928,Negative,0.7445709705352783
50,12,2021-12-24 04:26:23+00:00,@FoxNews Wrong analyses bring to wrong actions. Stop supporting nazies. Nato is the enemy at the gate. Enough is Enough. From Russia with love.,en,babinetc,Negative,0.8632530570030212
51,13,2021-12-24 04:14:18+00:00,@FoxNews Which is it? A strategy to garner leverage. Or whatnot? Either case. It cannot be a or else nothing. If the West does not solve for a betterment of relations? Be it non con form of a re miss all? At behalf of Russia. They will have no reason to behave. Call better business bureau,en,IAmSergeyR,Negative,0.7369703650474548
52,14,2021-12-24 03:42:01+00:00,@FoxNews To start war with Russia #Russia #Hillary #Democrats #Biden #Putin,en,czech1948,Negative,0.6567449569702148
