,tweetcreatedts,text,language,username
0,2021-12-20 18:12:42+00:00,@nytimes letitia      doesn't    investigate       ukraine  money    .       called     being      usable,en,monkeysfly51
1,2021-12-20 15:37:48+00:00,@nytimes When are you going to start calling out Russia India China Brazil they all produce more Green House gasses than the US yet you want to blame Senator Joe Manchin for stopping Bidens Bankruptcy Bonanza bill.,en,manzak01
2,2021-12-20 13:32:13+00:00,@nytimes The same scientists also Have made it clear that the US can’t do this alone and countries like China and India and Russia must participate and they are not so why are we mortgaging the country‘s future on other countries unwillingness to participate?,en,gotawoody
3,2021-12-20 01:10:51+00:00,@nytimes As if China or Russia would do it…,en,joefromthebase
0,2021-12-21 19:11:44+00:00,"@nytimes Immediate concerns for the U.S., tho' I know this is about Ukraine.",en,skykiss22
1,2021-12-21 17:01:40+00:00,@nytimes bullshit!  complete!  but there is something to lie about Russia and Putin. continue! Ahahahaaa!  Free ears!  Next!,en,WittGall
2,2021-12-21 14:48:10+00:00,@nytimes US should send a few thousand CBU-105s to Ukraine to thin out the Russian armor.,en,douglasdean35
3,2021-12-21 13:38:02+00:00,@nytimes “The conviction across society that Russia is not the aggressor reflects a core ideology dating to Soviet times: that the country only fights defensive wars”,en,ReelBillCarter
4,2021-12-21 12:46:44+00:00,"@nytimes I mean, modern day Russia is created in americas image.",en,SPAMisgood7
5,2021-12-21 12:04:50+00:00,"@nytimes Russia’s existential fears predates my birth. Germany’s invasion in 1941, and Napoleon’s in 1812.",en,veryzenny
6,2021-12-21 12:02:10+00:00,"@nytimes America has no conception of how Russians view their country. Americans are loyal to their country to a point &amp; are staggeringly selfish. Russians have lost millions in their wars fighting for Mother Russia and that’s what they will fight for, their Mother. So be careful.",en,DannyBoon30
7,2021-12-21 11:57:43+00:00,@nytimes I see the media is banging the Russia war drum again. Wonder which one of their sponsors is hungry for death?,en,TruPackFan74
8,2021-12-21 11:53:39+00:00,@nytimes Get ready for Putin to invade Ukraine and blame it on the US for making him do it,en,TyWebbNananana
9,2021-12-21 11:52:51+00:00,@nytimes Russia has so many real and imagined enemies.\n\nNo one should blame them for always being ready to fight.,en,MiteiRober
10,2021-12-21 10:43:14+00:00,@nytimes Ukraine requests to buy additional power in Belarus. How can the RF influence it? just don't sell electricity.,en,Yar76Alex
11,2021-12-21 10:13:36+00:00,@nytimes Ukraine has been a run down country since a democratically elected president had been toppled and driven out of the country. Anything could happen.,en,wolfgangtheoba3
12,2021-12-21 10:10:16+00:00,"@nytimes Ukraine situation was created by US 20 yrs ago.\nI saw that living in New York.\n\nThe idea is of 2 parts/phases:\n1-Integrating Ukraine into the West.\n2-Using the ""Kievan Rus"" as pretext for splitting Russia bc ""the real Rus belongs to Kiev"".\n\nThat's your propaganda!!",en,PlatoNyc
13,2021-12-21 06:35:45+00:00,"@nytimes Is America ""quietly"" (again) going to war (in Ukraine)?",en,ThomasPrass
14,2021-12-21 05:12:28+00:00,"@nytimes Everything will collapse in Kiev without Putin. In Ukraine, officials stole everything. There's nothing left to protect",en,Yar76Alex
15,2021-12-21 04:25:30+00:00,@nytimes Why don't we help Ukraine return the favor. It is time to stop placating Putin and let him know the international community will not tolerate his annexation of another country.,en,johngrounds97
16,2021-12-21 04:06:26+00:00,"@nytimes so EU needs and wants to to live with Russia as a friend, so shut up with this cold war mentality from distant powers",en,earthshareyou
0,2021-12-22 02:35:05+00:00,@nytimes Could Russia see Pain’s house shaking?,en,45Polemic
0,2021-12-23 22:23:55+00:00,@nytimes @Celina46407233 China and Russia have turned into dictatorship.,en,PokornyRoland
1,2021-12-23 19:45:58+00:00,@nytimes It will have been worth it if they finally take down Russia,en,flieldy
2,2021-12-23 16:05:56+00:00,@nytimes the 100K Russian troops at Ukraine border is just a coincidence,en,TedWilcox7
